group,series,t,algae,coral
2,8,35,0.10336046665470935,0.6130782762890356
2,8,36,0.10920342496782356,0.6227966824333036
2,8,37,0.10347816403853684,0.6667889033004507
2,8,38,0.10148057316645606,0.6965902650898518
2,8,39,0.09998807232923274,0.7028880170532916
2,8,40,0.09746102386279519,0.6551921393541428
2,8,41,0.08339060587853488,0.666938195157913
2,8,42,0.09363859851674045,0.6820618341844973
2,8,43,0.09269982385076739,0.6384965269741221
2,8,44,0.09110704208861947,0.6862861062952857
2,8,45,0.09344113906170583,0.6754166981322124
2,8,46,0.08474112938227585,0.6563366628421791
2,8,47,0.07894742251756492,0.6950872114100637
2,8,48,0.08442322866957683,0.6968807269603806
